order_id,user_id,meal_time,day_of_week,day_type,vegetarian,location,payment_method,preferred_cuisine,average_spend,spice_preference,rating,ordered_cuisine,order_amount
O000214,U00214,Dinner,Tuesday,Weekday,Yes,Delhi,Credit Card,Thai,335,Mild,4,Healthy Food,440
O000215,U00215,Dinner,Sunday,Weekend,Yes,Hyderabad,Wallet,Punjabi,210,Hot,4.8,Punjabi,300
O000216,U00216,Breakfast,Tuesday,Weekday,No,Chennai,UPI,Indian,210,Hot,4.1,Indian,155
O000217,U00217,Lunch,Friday,Weekday,No,Kolkata,UPI,Biryani,270,Hot,4.4,North Indian,240
O000218,U00218,Breakfast,Saturday,Weekend,Yes,Ahmedabad,Cash on Delivery,Mexican,230,Mild,4.3,Mexican,195
O000219,U00219,Breakfast,Wednesday,Weekday,Yes,Jaipur,Credit Card,Ice Cream,140,Mild,4.3,Ice Cream,105
O000220,U00220,Evening Snack,Monday,Weekday,No,Lucknow,Wallet,Tandoor,250,Hot,4.9,Tandoor,115
O000221,U00221,Lunch,Monday,Weekday,No,Bengaluru,UPI,North Eastern,180,Hot,3.9,North Eastern,165
O000222,U00222,Dinner,Monday,Weekday,No,Pune,UPI,Pastas,205,Medium,4.8,Pastas,255
O000223,U00223,Lunch,Friday,Weekday,No,Mumbai,Cash on Delivery,Kerala,185,Medium,4.8,Kerala,165
O000224,U00224,Lunch,Saturday,Weekend,Yes,Delhi,Credit Card,Indian,145,Medium,4.8,Indian,230
O000225,U00225,Dinner,Monday,Weekday,No,Hyderabad,Wallet,American,200,Hot,4.4,American,285
O000226,U00226,Breakfast,Monday,Weekday,No,Chennai,UPI,North Indian,235,Medium,4.9,North Indian,150
O000227,U00227,Breakfast,Monday,Weekday,No,Kolkata,UPI,Cafe,135,Medium,4.9,Cafe,90
O000228,U00228,Dinner,Saturday,Weekend,Yes,Ahmedabad,Cash on Delivery,Oriental,445,Hot,4.2,Oriental,515
O000229,U00229,Dinner,Monday,Weekday,No,Jaipur,Credit Card,Indian,160,Medium,4.1,Indian,210
O000230,U00230,Dinner,Sunday,Weekend,Yes,Lucknow,Wallet,Coastal,175,Hot,3.9,Coastal,180
